Area,Numerator,Denominator,% of all people aged 16+ who are male,Conf,Numerator,Denominator,% of all people aged 16+ who are female,Conf,Numerator,Denominator,% of all people aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of males aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of females aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of aged 16-64 who are male,Conf,Numerator,Denominator,% of aged 16-64 who are female,Conf,Numerator,Denominator,% of all 16+ who are aged 16-19,Conf,Numerator,Denominator,% of all 16+ who are aged 20-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-34,Conf,Numerator,Denominator,% of all 16+ who are aged 35-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50-64,Conf,Numerator,Denominator,% of all 16+ who are aged 65+,Conf,Numerator,Denominator,% of all 16+ who are aged 16-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50+,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ualad09:Westminster,104700,202600,51.7,3.9,97800,202600,48.3,3.9,174500,202600,86.2,2.7,91900,104700,87.7,3.7,82600,97800,84.5,3.9,91900,174500,52.6,4.3,82600,174500,47.4,4.3,8900,202600,4.4,1.6,20800,202600,10.2,2.4,53600,202600,26.5,3.4,53900,202600,26.6,3.4,37400,202600,18.4,3,28000,202600,13.8,2.7,29600,202600,14.6,2.8,107500,202600,53.1,3.9,65400,202600,32.3,3.6
ualad09:County Durham,206600,424300,48.7,2.9,217800,424300,51.3,2.9,324300,424300,76.4,2.5,159700,206600,77.3,3.6,164600,217800,75.6,3.5,159700,324300,49.2,3.5,164600,324300,50.8,3.5,19100,424300,4.5,1.2,35900,424300,8.5,1.6,67200,424300,15.8,2.1,97800,424300,23.1,2.5,104200,424300,24.5,2.5,100100,424300,23.6,2.5,55100,424300,13,2,165100,424300,38.9,2.9,204200,424300,48.1,2.9
ualad09:Newcastle upon Tyne,119900,240100,49.9,3,120200,240100,50.1,3,200900,240100,83.7,2.2,103400,119900,86.2,3,97500,120200,81.1,3.2,103400,200900,51.5,3.4,97500,200900,48.5,3.4,15600,240100,6.5,1.5,32200,240100,13.4,2,44900,240100,18.7,2.3,59800,240100,24.9,2.6,48400,240100,20.2,2.4,39300,240100,16.3,2.2,47800,240100,19.9,2.4,104700,240100,43.6,3,87700,240100,36.5,2.9
ualad09:Sunderland,111700,229600,48.7,2.7,117900,229600,51.3,2.7,176000,229600,76.7,2.3,86800,111700,77.7,3.3,89200,117900,75.7,3.3,86800,176000,49.3,3.2,89200,176000,50.7,3.2,13800,229600,6,1.3,20800,229600,9,1.6,35900,229600,15.6,2,49200,229600,21.4,2.3,56400,229600,24.6,2.4,53600,229600,23.3,2.3,34500,229600,15,2,85100,229600,37,2.7,110000,229600,47.9,2.7
ualad09:Carlisle,44600,92400,48.2,5.5,47900,92400,51.8,5.5,67500,92400,73,4.9,32800,44600,73.6,7,34600,47900,72.4,6.9,32800,67500,48.6,6.5,34600,67500,51.4,6.5,6500,92400,7,2.8,4900,92400,5.3,2.5,13400,92400,14.5,3.9,17900,92400,19.3,4.4,24800,92400,26.8,4.9,25000,92400,27,4.9,11400,92400,12.3,3.6,31300,92400,33.8,5.3,49800,92400,53.9,5.5
ualad09:Cheshire West and Chester,127800,264700,48.3,3.8,136900,264700,51.7,3.8,204700,264700,77.3,3.2,99900,127800,78.1,4.6,104800,136900,76.6,4.4,99900,204700,48.8,4.4,104800,204700,51.2,4.4,16300,264700,6.2,1.8,18000,264700,6.8,1.9,39600,264700,14.9,2.7,64800,264700,24.5,3.3,66000,264700,24.9,3.3,60000,264700,22.7,3.2,34300,264700,13,2.6,104300,264700,39.4,3.7,126100,264700,47.6,3.8
ualad09:Lancaster,58000,115300,50.3,6.4,57300,115300,49.7,6.4,90700,115300,78.7,5.2,44500,58000,76.6,7.8,46200,57300,80.7,7,44500,90700,49,7.5,46200,90700,51,7.5,3900,115300,3.4,*,12100,115300,10.5,3.9,22400,115300,19.4,5,25900,115300,22.5,5.3,26400,115300,22.9,5.3,24600,115300,21.3,5.2,16000,115300,13.9,4.4,48300,115300,41.9,6.3,51000,115300,44.2,6.3
ualad09:Liverpool,193500,395300,48.9,2.7,201800,395300,51.1,2.7,323900,395300,81.9,2.1,160900,193500,83.2,3,163000,201800,80.8,2.9,160900,323900,49.7,3.1,163000,323900,50.3,3.1,25200,395300,6.4,1.3,43900,395300,11.1,1.7,83500,395300,21.1,2.2,84800,395300,21.5,2.2,86500,395300,21.9,2.2,71400,395300,18.1,2.1,69100,395300,17.5,2.1,168300,395300,42.6,2.7,157900,395300,40,2.7
ualad09:Manchester,216900,426700,50.8,2.7,209800,426700,49.2,2.7,376100,426700,88.1,1.7,194000,216900,89.4,2.3,182100,209800,86.8,2.6,194000,376100,51.6,2.9,182100,376100,48.4,2.9,27100,426700,6.4,1.3,62400,426700,14.6,1.9,110600,426700,25.9,2.3,104200,426700,24.4,2.3,71700,426700,16.8,2,50600,426700,11.9,1.7,89600,426700,21,2.2,214800,426700,50.3,2.7,122300,426700,28.7,2.4
ualad09:Preston,53600,107300,50,6.4,53700,107300,50,6.4,92400,107300,86.1,4.4,46900,53600,87.4,6,45500,53700,84.8,6.4,46900,92400,50.8,6.8,45500,92400,49.2,6.8,7700,107300,7.1,3.3,13800,107300,12.8,4.2,15600,107300,14.6,4.5,31200,107300,29.1,5.8,24100,107300,22.4,5.3,14900,107300,13.9,4.4,21400,107300,20,5.1,46900,107300,43.7,6.3,39000,107300,36.3,6.1
ualad09:Salford,99400,198600,50.1,2.9,99200,198600,49.9,2.9,162600,198600,81.9,2.3,82500,99400,83,3.1,80000,99200,80.7,3.3,82500,162600,50.8,3.3,80000,162600,49.2,3.3,12900,198600,6.5,1.4,19000,198600,9.6,1.7,41400,198600,20.9,2.4,48000,198600,24.2,2.5,41300,198600,20.8,2.4,36000,198600,18.1,2.3,31900,198600,16.1,2.1,89400,198600,45,2.9,77300,198600,38.9,2.8
ualad09:Brighton and Hove,119000,238900,49.8,2.8,119900,238900,50.2,2.8,201400,238900,84.3,2.1,103200,119000,86.7,2.8,98200,119900,81.9,3,103200,201400,51.2,3.2,98200,201400,48.8,3.2,11600,238900,4.9,1.2,30700,238900,12.9,1.9,41800,238900,17.5,2.1,70200,238900,29.4,2.6,47100,238900,19.7,2.2,37400,238900,15.7,2.1,42300,238900,17.7,2.2,112000,238900,46.9,2.8,84500,238900,35.4,2.7
ualad09:Canterbury,64300,130700,49.2,6.8,66400,130700,50.8,6.8,99600,130700,76.2,5.8,49600,64300,77.2,8.4,50000,66400,75.4,8,49600,99600,49.8,8,50000,99600,50.2,8,4500,130700,3.5,*,9400,130700,7.2,3.5,19100,130700,14.6,4.8,31700,130700,24.3,5.8,34800,130700,26.6,6,31000,130700,23.8,5.8,14000,130700,10.7,4.2,50800,130700,38.9,6.6,65900,130700,50.4,6.8
ualad09:Chichester,48400,101200,47.8,7.4,52800,101200,52.2,7.4,66400,101200,65.6,7,31700,48400,65.6,10,34700,52800,65.7,9.8,31700,66400,47.8,9.3,34700,66400,52.2,9.3,5000,101200,4.9,*,6900,101200,6.9,3.7,5600,101200,5.6,*,18600,101200,18.4,5.7,30300,101200,29.9,6.7,34800,101200,34.4,7,11900,101200,11.8,4.8,24200,101200,23.9,6.3,65100,101200,64.3,7.1
ualad09:Oxford,62100,126100,49.3,6.8,64000,126100,50.7,6.8,112900,126100,89.6,4.2,58200,62100,93.8,4.8,54700,64000,85.5,6.7,58200,112900,51.6,7.3,54700,112900,48.4,7.3,5600,126100,4.4,*,12700,126100,10.1,4.1,33700,126100,26.7,6,32800,126100,26.1,6,28100,126100,22.3,5.7,13200,126100,10.4,4.2,18300,126100,14.5,4.8,66500,126100,52.8,6.8,41200,126100,32.7,6.4
ualad09:Portsmouth,88400,175500,50.4,2.7,87100,175500,49.6,2.7,141500,175500,80.7,2.1,73500,88400,83.1,3,68100,87100,78.2,3.1,73500,141500,51.9,3.2,68100,141500,48.1,3.2,12800,175500,7.3,1.4,19600,175500,11.2,1.7,31500,175500,18,2.1,42000,175500,23.9,2.3,35600,175500,20.3,2.2,33900,175500,19.3,2.1,32500,175500,18.5,2.1,73500,175500,41.9,2.7,69500,175500,39.6,2.7
ualad09:Southampton,106400,205500,51.8,2.6,99100,205500,48.2,2.6,170700,205500,83.1,2,89600,106400,84.2,2.7,81100,99100,81.8,2.9,89600,170700,52.5,3,81100,170700,47.5,3,13000,205500,6.3,1.3,30900,205500,15.1,1.9,46900,205500,22.8,2.2,46800,205500,22.8,2.2,33100,205500,16.1,1.9,34800,205500,16.9,2,43900,205500,21.4,2.2,93700,205500,45.6,2.6,67900,205500,33,2.5
ualad09:Winchester,46300,98300,47.1,6.4,52000,98300,52.9,6.4,72800,98300,74,5.7,34500,46300,74.6,8.2,38300,52000,73.6,7.8,34500,72800,47.4,7.6,38300,72800,52.6,7.6,7600,98300,7.7,3.4,7600,98300,7.7,3.4,11900,98300,12.1,4.2,20300,98300,20.7,5.2,25400,98300,25.9,5.6,25500,98300,26,5.7,15200,98300,15.4,4.7,32200,98300,32.8,6.1,51000,98300,51.8,6.4
ualad09:Cardiff,141800,290700,48.8,3,148800,290700,51.2,3,242100,290700,83.3,2.2,120000,141800,84.6,3.1,122200,148800,82.1,3.2,120000,242100,49.5,3.3,122200,242100,50.5,3.3,18900,290700,6.5,1.5,41100,290700,14.2,2.1,58300,290700,20,2.4,64900,290700,22.3,2.5,59000,290700,20.3,2.4,48500,290700,16.7,2.2,60000,290700,20.7,2.4,123100,290700,42.4,2.9,107500,290700,37,2.9
ualad09:Newport,57200,117500,48.7,3,60300,117500,51.3,3,92000,117500,78.4,2.5,45600,57200,79.6,3.6,46500,60300,77.1,3.4,45600,92000,49.5,3.4,46500,92000,50.5,3.4,7000,117500,6,1.4,9900,117500,8.5,1.7,19800,117500,16.9,2.2,27700,117500,23.6,2.5,27600,117500,23.5,2.5,25400,117500,21.6,2.5,17000,117500,14.4,2.1,47500,117500,40.4,2.9,53000,117500,45.1,3
ualad09:Swansea,99200,199600,49.7,2.6,100400,199600,50.3,2.6,153300,199600,76.8,2.2,78400,99200,79,3.2,75000,100400,74.6,3.1,78400,153300,51.1,3.1,75000,153300,48.9,3.1,12500,199600,6.3,1.3,21000,199600,10.5,1.6,31700,199600,15.9,1.9,43600,199600,21.8,2.2,44500,199600,22.3,2.2,46300,199600,23.2,2.2,33500,199600,16.8,2,75300,199600,37.7,2.6,90800,199600,45.5,2.6
ualad09:Birmingham,409300,837100,48.9,2.3,427800,837100,51.1,2.3,718000,837100,85.8,1.6,356400,409300,87.1,2.3,361600,427800,84.5,2.3,356400,718000,49.6,2.6,361600,718000,50.4,2.6,68500,837100,8.2,1.3,102800,837100,12.3,1.5,171400,837100,20.5,1.9,216800,837100,25.9,2,158400,837100,18.9,1.8,119100,837100,14.2,1.6,171400,837100,20.5,1.9,388200,837100,46.4,2.3,277500,837100,33.2,2.2
ualad09:Coventry,141100,282100,50,2.8,141000,282100,50,2.8,231400,282100,82,2.2,119400,141100,84.6,2.9,112000,141000,79.4,3.2,119400,231400,51.6,3.2,112000,231400,48.4,3.2,18100,282100,6.4,1.4,29400,282100,10.4,1.7,57900,282100,20.5,2.3,70200,282100,24.9,2.5,55700,282100,19.7,2.3,50800,282100,18,2.2,47500,282100,16.9,2.1,128100,282100,45.4,2.8,106500,282100,37.7,2.8
"ualad09:Herefordshire, County of",80300,160700,50,2.6,80400,160700,50,2.6,110000,160700,68.5,2.4,55600,80300,69.3,3.5,54400,80400,67.7,3.4,55600,110000,50.6,3.4,54400,110000,49.4,3.4,9100,160700,5.6,1.2,6900,160700,4.3,1.1,17000,160700,10.6,1.6,31900,160700,19.8,2.1,45200,160700,28.2,2.4,50600,160700,31.5,2.4,15900,160700,9.9,1.6,48900,160700,30.4,2.4,95900,160700,59.7,2.6
ualad09:Lichfield,39800,81600,48.7,7.4,41900,81600,51.3,7.4,61000,81600,74.8,6.4,30000,39800,75.5,9.1,31000,41900,74,9.1,30000,61000,49.2,8.5,31000,61000,50.8,8.5,!,81600,!,!,3200,81600,4,*,16700,81600,20.5,6,18900,81600,23.2,6.2,21100,81600,25.8,6.5,20600,81600,25.2,6.4,4300,81600,5.3,*,35700,81600,43.7,7.3,41700,81600,51,7.4
ualad09:Stoke-on-Trent,103600,205400,50.4,2.9,101800,205400,49.6,2.9,158000,205400,77,2.4,80500,103600,77.7,3.4,77500,101800,76.2,3.4,80500,158000,51,3.3,77500,158000,49,3.3,11600,205400,5.7,1.3,18100,205400,8.8,1.6,35600,205400,17.3,2.2,47900,205400,23.3,2.4,44800,205400,21.8,2.4,47300,205400,23,2.4,29700,205400,14.5,2,83500,205400,40.7,2.8,92200,205400,44.9,2.8
ualad09:Wolverhampton,101500,207800,48.9,2.7,106300,207800,51.1,2.7,159900,207800,77,2.3,79400,101500,78.2,3.3,80600,106300,75.8,3.1,79400,159900,49.6,3.2,80600,159900,50.4,3.2,13200,207800,6.4,1.3,16900,207800,8.1,1.5,33300,207800,16,2,48700,207800,23.4,2.3,47900,207800,23,2.3,47900,207800,23,2.3,30100,207800,14.5,1.9,82000,207800,39.4,2.6,95800,207800,46.1,2.7
ualad09:Worcester,39500,80400,49.2,6.4,40900,80400,50.8,6.4,65400,80400,81.3,5,33100,39500,83.8,6.9,32300,40900,78.9,7.3,33100,65400,50.7,7.1,32300,65400,49.3,7.1,3500,80400,4.4,*,7900,80400,9.8,3.8,13900,80400,17.3,4.9,22300,80400,27.8,5.8,17700,80400,22,5.3,15000,80400,18.7,5,11400,80400,14.2,4.5,36300,80400,45.1,6.4,32700,80400,40.7,6.3
ualad09:Bradford,198100,405600,48.8,2.8,207600,405600,51.2,2.8,328400,405600,81,2.2,165200,198100,83.4,3.1,163200,207600,78.6,3.2,165200,328400,50.3,3.2,163200,328400,49.7,3.2,29300,405600,7.2,1.5,35900,405600,8.9,1.6,64300,405600,15.8,2.1,104300,405600,25.7,2.5,94600,405600,23.3,2.4,77200,405600,19,2.2,65200,405600,16.1,2.1,168600,405600,41.6,2.8,171800,405600,42.4,2.8
"ualad09:Kingston upon Hull, City of",102300,206600,49.5,3.1,104300,206600,50.5,3.1,167000,206600,80.9,2.4,85500,102300,83.6,3.3,81600,104300,78.2,3.4,85500,167000,51.2,3.5,81600,167000,48.8,3.5,13900,206600,6.7,1.5,21700,206600,10.5,1.9,41000,206600,19.8,2.4,48300,206600,23.4,2.6,42100,206600,20.4,2.5,39500,206600,19.1,2.4,35600,206600,17.2,2.3,89300,206600,43.2,3,81600,206600,39.5,3
ualad09:Leeds,298300,613300,48.6,2.6,315100,613300,51.4,2.6,508100,613300,82.8,2,251800,298300,84.4,2.8,256300,315100,81.3,2.8,251800,508100,49.6,2.9,256300,508100,50.4,2.9,36500,613300,6,1.2,73500,613300,12,1.7,126500,613300,20.6,2.1,146700,613300,23.9,2.2,124900,613300,20.4,2.1,105300,613300,17.2,2,110000,613300,17.9,2,273200,613300,44.5,2.6,230200,613300,37.5,2.5
ualad09:Sheffield,227200,456200,49.8,2.9,229000,456200,50.2,2.9,372400,456200,81.6,2.2,189300,227200,83.3,3,183100,229000,80,3.2,189300,372400,50.8,3.2,183100,372400,49.2,3.2,30600,456200,6.7,1.4,51700,456200,11.3,1.8,86500,456200,19,2.2,106300,456200,23.3,2.4,97300,456200,21.3,2.3,83800,456200,18.4,2.2,82200,456200,18,2.2,192800,456200,42.3,2.8,181200,456200,39.7,2.8
ualad09:Wakefield,131500,268100,49,2.8,136600,268100,51,2.8,206600,268100,77.1,2.3,102600,131500,78,3.4,104100,136600,76.2,3.2,102600,206600,49.6,3.2,104100,206600,50.4,3.2,14100,268100,5.3,1.2,25100,268100,9.4,1.6,47900,268100,17.9,2.1,62400,268100,23.3,2.3,57200,268100,21.3,2.3,61400,268100,22.9,2.3,39200,268100,14.6,1.9,110200,268100,41.1,2.7,118700,268100,44.3,2.7
ualad09:York,85500,174500,49,2.7,89000,174500,51,2.7,137200,174500,78.7,2.2,68500,85500,80.1,3.1,68700,89000,77.3,3,68500,137200,49.9,3.1,68700,137200,50.1,3.1,10000,174500,5.7,1.2,16500,174500,9.5,1.6,28300,174500,16.2,2,43500,174500,25,2.3,38900,174500,22.3,2.2,37200,174500,21.3,2.2,26500,174500,15.2,1.9,71900,174500,41.2,2.6,76100,174500,43.6,2.6
ualad09:Exeter,50900,101500,50.1,6.8,50600,101500,49.9,6.8,85700,101500,84.4,4.9,43700,50900,85.9,7.1,42000,50600,83,6.9,43700,85700,51,7.7,42000,85700,49,7.7,5500,101500,5.4,3.1,19800,101500,19.5,5.4,16500,101500,16.2,5,26800,101500,26.4,6,17200,101500,17,5.1,15800,101500,15.6,4.9,25300,101500,24.9,5.9,43300,101500,42.6,6.7,33000,101500,32.5,6.4
gor:East,2395700,4905200,48.8,0.8,2509500,4905200,51.2,0.8,3746100,4905200,76.4,0.7,1859000,2395700,77.6,1,1887200,2509500,75.2,1,1859000,3746100,49.6,0.9,1887200,3746100,50.4,0.9,266400,4905200,5.4,0.4,345000,4905200,7,0.4,766200,4905200,15.6,0.6,1207800,4905200,24.6,0.7,1160800,4905200,23.7,0.7,1159100,4905200,23.6,0.7,611400,4905200,12.5,0.5,1974000,4905200,40.2,0.8,2319900,4905200,47.3,0.8
gor:East Midlands,1857400,3789300,49,0.9,1931900,3789300,51,0.9,2916600,3789300,77,0.8,1449400,1857400,78,1.1,1467300,1931900,75.9,1.1,1449400,2916600,49.7,1.1,1467300,2916600,50.3,1.1,220000,3789300,5.8,0.4,311800,3789300,8.2,0.5,581900,3789300,15.4,0.7,894500,3789300,23.6,0.8,908400,3789300,24,0.8,872700,3789300,23,0.8,531800,3789300,14,0.7,1476400,3789300,39,0.9,1781100,3789300,47,0.9
gor:London,3469300,7017600,49.4,0.7,3548300,7017600,50.6,0.7,6020100,7017600,85.8,0.5,3020000,3469300,87,0.7,3000100,3548300,84.6,0.7,3020000,6020100,50.2,0.8,3000100,6020100,49.8,0.8,371000,7017600,5.3,0.3,585300,7017600,8.3,0.4,1715600,7017600,24.4,0.6,1992400,7017600,28.4,0.6,1355900,7017600,19.3,0.6,997400,7017600,14.2,0.5,956300,7017600,13.6,0.5,3707900,7017600,52.8,0.7,2353300,7017600,33.5,0.7
gor:North East,1040300,2139800,48.6,0.8,1099500,2139800,51.4,0.8,1647500,2139800,77,0.7,813500,1040300,78.2,1,834000,1099500,75.9,1,813500,1647500,49.4,1,834000,1647500,50.6,1,121400,2139800,5.7,0.4,183200,2139800,8.6,0.5,335600,2139800,15.7,0.6,478800,2139800,22.4,0.7,528500,2139800,24.7,0.7,492200,2139800,23,0.7,304600,2139800,14.2,0.6,814400,2139800,38.1,0.8,1020800,2139800,47.7,0.8
gor:North West,2818400,5761300,48.9,0.6,2942900,5761300,51.1,0.6,4480400,5761300,77.8,0.5,2225400,2818400,79,0.7,2255100,2942900,76.6,0.7,2225400,4480400,49.7,0.7,2255100,4480400,50.3,0.7,329100,5761300,5.7,0.3,467600,5761300,8.1,0.3,953200,5761300,16.5,0.4,1361700,5761300,23.6,0.5,1368800,5761300,23.8,0.5,1280900,5761300,22.2,0.5,796700,5761300,13.8,0.4,2314900,5761300,40.2,0.6,2649700,5761300,46,0.6
gor:South East,3512700,7200200,48.8,0.6,3687500,7200200,51.2,0.6,5535900,7200200,76.9,0.5,2747500,3512700,78.2,0.7,2788500,3687500,75.6,0.7,2747500,5535900,49.6,0.7,2788500,5535900,50.4,0.7,403500,7200200,5.6,0.3,528100,7200200,7.3,0.3,1091000,7200200,15.2,0.4,1798300,7200200,25,0.5,1715100,7200200,23.8,0.5,1664300,7200200,23.1,0.5,931500,7200200,12.9,0.4,2889300,7200200,40.1,0.6,3379400,7200200,46.9,0.6
gor:South West,2179200,4465800,48.8,0.7,2286600,4465800,51.2,0.7,3307100,4465800,74.1,0.6,1642300,2179200,75.4,0.9,1664800,2286600,72.8,0.9,1642300,3307100,49.7,0.8,1664800,3307100,50.3,0.8,241900,4465800,5.4,0.3,332300,4465800,7.4,0.4,643200,4465800,14.4,0.5,1007400,4465800,22.6,0.6,1082400,4465800,24.2,0.6,1158700,4465800,25.9,0.6,574200,4465800,12.9,0.5,1650600,4465800,37,0.7,2241000,4465800,50.2,0.7
gor:Wales,1233100,2521100,48.9,0.6,1288100,2521100,51.1,0.6,1900800,2521100,75.4,0.5,945500,1233100,76.7,0.7,955300,1288100,74.2,0.7,945500,1900800,49.7,0.7,955300,1900800,50.3,0.7,145700,2521100,5.8,0.3,209600,2521100,8.3,0.3,379800,2521100,15.1,0.4,559300,2521100,22.2,0.5,606400,2521100,24.1,0.5,620300,2521100,24.6,0.5,355300,2521100,14.1,0.4,939100,2521100,37.2,0.6,1226700,2521100,48.7,0.6
gor:West Midlands,2262100,4603800,49.1,0.7,2341700,4603800,50.9,0.7,3567800,4603800,77.5,0.6,1782500,2262100,78.8,0.9,1785200,2341700,76.2,0.9,1782500,3567800,50,0.9,1785200,3567800,50,0.9,272000,4603800,5.9,0.3,383000,4603800,8.3,0.4,760100,4603800,16.5,0.5,1094000,4603800,23.8,0.6,1058700,4603800,23,0.6,1036000,4603800,22.5,0.6,655000,4603800,14.2,0.5,1854000,4603800,40.3,0.7,2094700,4603800,45.5,0.7
gor:Yorkshire and The Humber,2125000,4337400,49,0.7,2212400,4337400,51,0.7,3375900,4337400,77.8,0.6,1683100,2125000,79.2,0.9,1692900,2212400,76.5,0.8,1683100,3375900,49.9,0.8,1692900,3375900,50.1,0.8,257100,4337400,5.9,0.3,378700,4337400,8.7,0.4,704000,4337400,16.2,0.5,1020500,4337400,23.5,0.6,1015600,4337400,23.4,0.6,961500,4337400,22.2,0.6,635800,4337400,14.7,0.5,1724500,4337400,39.8,0.7,1977100,4337400,45.6,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,These figures are suppressed as statistically unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,Estimate and confidence interval not available since the group sample size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is zero or disclosive (0-2),Estimate and confidence interval not available since the group sample size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,Estimate and confidence interval unreliable since the group sample size is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small (3-9),Estimate and confidence interval unreliable since the group sample size is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20/07/2016 Data has been reweighted in line with the latest ONS estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20/07/2016 Data has been reweighted in line with the latest ONS estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
