Area,Numerator,Denominator,% of all people aged 16+ who are male,Conf,Numerator,Denominator,% of all people aged 16+ who are female,Conf,Numerator,Denominator,% of all people aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of males aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of females aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of aged 16-64 who are male,Conf,Numerator,Denominator,% of aged 16-64 who are female,Conf,Numerator,Denominator,% of all 16+ who are aged 16-19,Conf,Numerator,Denominator,% of all 16+ who are aged 20-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-34,Conf,Numerator,Denominator,% of all 16+ who are aged 35-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50-64,Conf,Numerator,Denominator,% of all 16+ who are aged 65+,Conf,Numerator,Denominator,% of all 16+ who are aged 16-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50+,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ualad09:Barnet,151100,314500,48.1,3.9,163400,314500,51.9,3.9,254500,314500,80.9,3.1,126000,151100,83.4,4.3,128500,163400,78.6,4.4,126000,254500,49.5,4.5,128500,254500,50.5,4.5,21300,314500,6.8,2,28100,314500,8.9,2.2,58000,314500,18.5,3.1,79300,314500,25.2,3.4,67700,314500,21.5,3.2,60000,314500,19.1,3.1,49400,314500,15.7,2.9,137400,314500,43.7,3.9,127700,314500,40.6,3.9
ualad09:Bexley,93300,197200,47.3,3.9,103900,197200,52.7,3.9,157200,197200,79.7,3.1,74700,93300,80.1,4.5,82500,103900,79.4,4.3,74700,157200,47.5,4.4,82500,157200,52.5,4.4,10600,197200,5.4,1.7,16500,197200,8.4,2.1,27000,197200,13.7,2.7,52800,197200,26.8,3.4,50200,197200,25.5,3.4,40000,197200,20.3,3.1,27100,197200,13.8,2.7,79800,197200,40.5,3.8,90200,197200,45.8,3.9
ualad09:Brent,128800,251100,51.3,3.6,122300,251100,48.7,3.6,223400,251100,89,2.3,116000,128800,90.1,3.1,107400,122300,87.8,3.3,116000,223400,51.9,3.9,107400,223400,48.1,3.9,19500,251100,7.8,2,23700,251100,9.4,2.1,56800,251100,22.6,3.1,75700,251100,30.1,3.3,47800,251100,19,2.9,27700,251100,11,2.3,43200,251100,17.2,2.8,132500,251100,52.8,3.6,75500,251100,30.1,3.3
ualad09:Bromley,124600,261000,47.7,3.8,136400,261000,52.3,3.8,204500,261000,78.3,3.2,99300,124600,79.7,4.5,105200,136400,77.1,4.4,99300,204500,48.6,4.4,105200,204500,51.4,4.4,10700,261000,4.1,1.5,15200,261000,5.8,1.8,52700,261000,20.2,3.1,68400,261000,26.2,3.4,57500,261000,22,3.2,56500,261000,21.7,3.2,25900,261000,9.9,2.3,121100,261000,46.4,3.8,114000,261000,43.7,3.8
ualad09:Camden,104000,207100,50.2,3.9,103000,207100,49.8,3.9,176300,207100,85.2,2.7,90300,104000,86.8,3.8,86000,103000,83.5,4,90300,176300,51.2,4.3,86000,176300,48.8,4.3,10300,207100,5,1.7,16600,207100,8,2.1,55100,207100,26.6,3.4,57300,207100,27.7,3.5,37100,207100,17.9,3,30700,207100,14.8,2.7,26900,207100,13,2.6,112400,207100,54.3,3.8,67800,207100,32.8,3.6
ualad09:City of London,5100,8900,57.2,*,3800,8900,42.8,*,6900,8900,77.5,*,4400,5100,85.3,*,2600,3800,67.2,*,4400,6900,62.9,*,2600,6900,37.1,*,!,8900,!,!,!,8900,!,!,!,8900,!,!,!,8900,!,!,#,8900,23,*,2000,8900,22.5,*,!,8900,!,!,3000,8900,33.3,*,4100,8900,45.5,*
ualad09:Croydon,144400,298200,48.4,3.7,153900,298200,51.6,3.7,249300,298200,83.6,2.8,121700,144400,84.3,3.9,127600,153900,82.9,3.9,121700,249300,48.8,4.2,127600,249300,51.2,4.2,17100,298200,5.7,1.7,17600,298200,5.9,1.8,62500,298200,20.9,3,85300,298200,28.6,3.4,66800,298200,22.4,3.1,49000,298200,16.4,2.8,34800,298200,11.7,2.4,147800,298200,49.5,3.7,115700,298200,38.8,3.6
ualad09:Ealing,139000,268300,51.8,4.4,129300,268300,48.2,4.4,231300,268300,86.2,3,118300,139000,85.1,4.5,113000,129300,87.4,4,118300,231300,51.1,4.8,113000,231300,48.9,4.8,10500,268300,3.9,1.7,21800,268300,8.1,2.4,60700,268300,22.6,3.7,79400,268300,29.6,4,58800,268300,21.9,3.6,37000,268300,13.8,3,32400,268300,12.1,2.8,140100,268300,52.2,4.4,95800,268300,35.7,4.2
ualad09:Enfield,120600,251400,48,4.2,130800,251400,52,4.2,215900,251400,85.9,2.9,105400,120600,87.4,4.2,110500,130800,84.5,4.2,105400,215900,48.8,4.6,110500,215900,51.2,4.6,18100,251400,7.2,2.2,15400,251400,6.1,2,43000,251400,17.1,3.2,79400,251400,31.6,3.9,60000,251400,23.9,3.6,35500,251400,14.1,2.9,33500,251400,13.3,2.9,122300,251400,48.7,4.2,95500,251400,38,4.1
ualad09:Greenwich,106000,213400,49.7,4.3,107400,213400,50.3,4.3,186200,213400,87.2,2.9,94600,106000,89.2,3.9,91500,107400,85.2,4.1,94600,186200,50.8,4.6,91500,186200,49.2,4.6,15900,213400,7.5,2.2,17300,213400,8.1,2.3,46800,213400,21.9,3.5,66800,213400,31.3,4,39400,213400,18.5,3.3,27300,213400,12.8,2.9,33200,213400,15.5,3.1,113600,213400,53.2,4.3,66700,213400,31.2,4
ualad09:Hackney,107900,219700,49.1,4,111800,219700,50.9,4,199400,219700,90.8,2.3,99100,107900,91.9,3.2,100300,111800,89.7,3.3,99100,199400,49.7,4.3,100300,199400,50.3,4.3,12000,219700,5.5,1.8,19900,219700,9.1,2.3,68300,219700,31.1,3.7,63600,219700,28.9,3.7,35600,219700,16.2,3,20300,219700,9.2,2.3,31900,219700,14.5,2.8,131900,219700,60,3.9,55900,219700,25.4,3.5
ualad09:Hammersmith and Fulham,74100,150200,49.3,4.2,76100,150200,50.7,4.2,131700,150200,87.7,2.8,65000,74100,87.7,4.1,66700,76100,87.7,3.7,65000,131700,49.3,4.7,66700,131700,50.7,4.7,5100,150200,3.4,1.5,11500,150200,7.7,2.2,46200,150200,30.7,3.9,44500,150200,29.6,3.8,24400,150200,16.3,3.1,18500,150200,12.3,2.8,16700,150200,11.1,2.6,90600,150200,60.3,4.1,42900,150200,28.6,3.8
ualad09:Haringey,110600,220100,50.3,3.7,109500,220100,49.7,3.7,196500,220100,89.3,2.3,100100,110600,90.5,3.2,96400,109500,88,3.3,100100,196500,51,4,96400,196500,49,4,14000,220100,6.4,1.8,22800,220100,10.3,2.3,58900,220100,26.8,3.3,57900,220100,26.3,3.3,42900,220100,19.5,2.9,23600,220100,10.7,2.3,36700,220100,16.7,2.8,116800,220100,53.1,3.7,66600,220100,30.2,3.4
ualad09:Harrow,99300,204700,48.5,3.9,105500,204700,51.5,3.9,161100,204700,78.7,3.2,81300,99300,81.9,4.3,79800,105500,75.6,4.6,81300,161100,50.5,4.5,79800,161100,49.5,4.5,9100,204700,4.4,1.6,15900,204700,7.8,2.1,44300,204700,21.6,3.2,53300,204700,26,3.4,38600,204700,18.9,3,43700,204700,21.3,3.2,24900,204700,12.2,2.5,97500,204700,47.6,3.9,82300,204700,40.2,3.8
ualad09:Havering,97500,207900,46.9,4,110400,207900,53.1,4,157300,207900,75.6,3.4,76400,97500,78.4,4.9,80900,110400,73.2,4.8,76400,157300,48.6,4.6,80900,157300,51.4,4.6,9300,207900,4.5,1.7,16300,207900,7.9,2.2,40300,207900,19.4,3.2,49100,207900,23.6,3.4,42200,207900,20.3,3.2,50700,207900,24.4,3.4,25700,207900,12.3,2.6,89400,207900,43,4,92900,207900,44.7,4
ualad09:Hillingdon,116200,236600,49.1,3.9,120400,236600,50.9,3.9,199600,236600,84.4,2.9,100500,116200,86.5,3.9,99100,120400,82.3,4.2,100500,199600,50.3,4.4,99100,199600,49.7,4.4,14500,236600,6.1,1.9,15200,236600,6.4,1.9,54500,236600,23,3.3,65300,236600,27.6,3.5,50200,236600,21.2,3.2,37000,236600,15.6,2.9,29600,236600,12.5,2.6,119800,236600,50.6,3.9,87200,236600,36.9,3.8
ualad09:Hounslow,112400,218900,51.3,4.6,106500,218900,48.7,4.6,187900,218900,85.8,3.2,96500,112400,85.9,4.7,91400,106500,85.8,4.4,96500,187900,51.4,5.1,91400,187900,48.6,5.1,7400,218900,3.4,1.7,14700,218900,6.7,2.3,53600,218900,24.5,4,68500,218900,31.3,4.3,43600,218900,19.9,3.7,31000,218900,14.2,3.2,22200,218900,10.1,2.8,122100,218900,55.8,4.6,74600,218900,34.1,4.4
ualad09:Islington,99100,196800,50.4,4.1,97700,196800,49.6,4.1,174500,196800,88.7,2.6,88800,99100,89.6,3.7,85700,97700,87.7,3.7,88800,174500,50.9,4.5,85700,174500,49.1,4.5,9600,196800,4.9,1.8,20000,196800,10.1,2.5,64900,196800,33,3.9,49300,196800,25.1,3.6,30800,196800,15.6,3,22300,196800,11.3,2.6,29600,196800,15,3,114200,196800,58,4.1,53100,196800,27,3.7
ualad09:Kensington and Chelsea,63300,130500,48.5,3.8,67200,130500,51.5,3.8,108000,130500,82.7,2.9,53900,63300,85.1,4.2,54100,67200,80.5,4,53900,108000,49.9,4.5,54100,108000,50.1,4.5,6800,130500,5.2,1.7,6600,130500,5,1.7,25400,130500,19.5,3,41600,130500,31.9,3.5,27600,130500,21.1,3.1,22500,130500,17.3,2.9,13400,130500,10.3,2.3,67000,130500,51.3,3.8,50100,130500,38.4,3.7
ualad09:Kingston upon Thames,68900,139000,49.6,4.2,70100,139000,50.4,4.2,118800,139000,85.4,3,59100,68900,85.7,4.3,59700,70100,85.2,4.1,59100,118800,49.7,4.7,59700,118800,50.3,4.7,7600,139000,5.4,1.9,13300,139000,9.6,2.5,24800,139000,17.9,3.2,43900,139000,31.6,3.9,29100,139000,20.9,3.4,20200,139000,14.6,3,20900,139000,15,3,68800,139000,49.5,4.2,49400,139000,35.5,4
ualad09:Lambeth,138100,274700,50.3,5,136600,274700,49.7,5,247200,274700,90,3,124600,138100,90.2,4.4,122500,136600,89.7,4.1,124600,247200,50.4,5.4,122500,247200,49.6,5.4,10700,274700,3.9,1.9,18900,274700,6.9,2.5,103700,274700,37.8,4.9,66800,274700,24.3,4.3,47000,274700,17.1,3.8,27500,274700,10,3,29600,274700,10.8,3.1,170500,274700,62.1,4.9,74500,274700,27.1,4.5
