Department for Transport statistics,,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,,
Table TAXI0104,,,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2017 1",,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,,
,,,,,Licensed taxis and taxi drivers,,,,,Licensed private hire vehicles (PHVs) and drivers,,,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis ,"Other 
taxis ","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs,"Other 
PHVs ","Total 
PHVs","Operator 
licences 
issued",PHV only licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and the Humber,,,,"2,123","1,815","3,938","2,736",,437,"17,467","17,904","1,209","14,617",,"10,165","27,518","21,842"
E10000023,,North Yorkshire,,,90,584,674,256,,51,679,730,200,190,,"1,273","1,719","1,404"
E07000163,,,Craven,,10,138,148,148,,0,18,18,14,19,,5,172,166
E07000164,,,Hambleton,,8,91,99,12,,2,29,31,9,19,,123,154,130
E07000165,,,Harrogate,,14,134,148,0,,20,271,291,58,0,,554,554,439
E07000166,,,Richmondshire,,5,64,69,21,,1,35,36,23,28,,64,113,105
E07000167,,,Ryedale,,3,46,49,0,,0,51,51,22,0,,107,107,100
E07000168,,,Scarborough,,8,97,105,0,,22,178,200,34,0,,420,420,305
E07000169,,,Selby,,42,14,56,75,,6,97,103,40,124,,0,199,159
E06000014,,York,,,45,138,183,286,,59,531,590,58,604,,0,890,773
E06000011,,East Riding of Yorkshire,,,21,119,140,0,,1,231,232,79,0,,418,418,372
E06000010,,"Kingston upon Hull, City of",,,170,0,170,220,,0,"1,043","1,043",101,"1,139",,0,"1,359","1,213"
E06000012,,North East Lincolnshire,,,60,170,230,233,,0,329,329,33,353,,0,586,559
E06000013,,North Lincolnshire,,,15,174,189,7,,68,172,240,25,357,,260,624,429
E11000006,,West Yorkshire,,,653,530,"1,183","1,734",,250,"11,011","11,261",427,"11,560",,"3,158","16,452","12,444"
E08000032,,,Bradford,,221,1,222,339,,0,"3,024","3,024",112,"3,861",,0,"4,200","3,246"
E08000033,,,Calderdale,,84,10,94,204,,4,791,795,55,994,,281,"1,479",889
E08000034,,,Kirklees,,48,172,220,0,,138,"1,772","1,910",117,0,,"2,877","2,877","2,130"
E08000035,,,Leeds,,270,267,537,945,,84,"4,335","4,419",77,"5,307",,0,"6,252","4,956"
E08000036,,,Wakefield,,30,80,110,246,,24,"1,089","1,113",66,"1,398",,0,"1,644","1,223"
E11000003,,South Yorkshire,,,"1,069",100,"1,169",0,,8,"3,471","3,479",286,414,,"5,056","5,470","4,648"
E08000016,,,Barnsley,,13,54,67,0,,8,429,437,90,0,,635,635,504
E08000017,,,Doncaster,,193,0,193,0,,0,542,542,83,414,,448,862,735
E08000018,,,Rotherham,,6,46,52,0,,0,757,757,71,0,,"1,064","1,064",809
E08000019,,,Sheffield,,857,0,857,0,,0,"1,743","1,743",42,0,,"2,909","2,909","2,600"
,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,,,,"1,939","3,298","5,237","1,486",,433,"8,842","9,275","1,209","3,740",,"11,818","17,044","14,512"
E06000015,,Derby,,,286,0,286,262,,0,943,943,115,822,,90,"1,174","1,229"
E10000007,,Derbyshire,,,206,513,719,17,,138,"1,394","1,532",285,318,,"2,453","2,788","2,251"
E07000032,,,Amber Valley,,34,107,141,0,,3,99,102,46,0,,275,275,243
E07000033,,,Bolsover,,0,26,26,0,,0,249,249,32,1,,260,261,275
E07000034,,,Chesterfield,,120,30,150,17,,101,322,423,31,43,,540,600,573
E07000035,,,Derbyshire Dales,,0,71,71,0,,0,24,24,21,0,,119,119,95
E07000036,,,Erewash,,45,135,180,0,,2,47,49,19,0,,264,264,229
E07000037,,,High Peak,,7,133,140,0,,26,288,314,59,0,,773,773,454
E07000038,,,North East Derbyshire,,0,11,11,0,,0,163,163,34,0,,222,222,174
E07000039,,,South Derbyshire,,0,0,0,0,,6,202,208,43,274,,0,274,208
E06000018,,Nottingham,,,411,0,411,0,,0,"1,124","1,124",24,0,,"1,989","1,989","1,535"
E10000024,,Nottinghamshire,,,196,"1,137","1,333",39,,121,822,943,163,0,,"2,293","2,332","2,276"
E07000170,,,Ashfield,,40,134,174,0,,9,217,226,30,0,,360,360,400
E07000171,,,Bassetlaw,,30,31,61,39,,2,61,63,25,0,,132,171,124
E07000172,,,Broxtowe,,1,143,144,0,,0,9,9,10,0,,144,144,153
E07000173,,,Gedling,,2,702,704,0,,62,117,179,16,0,,802,802,883
E07000174,,,Mansfield,,45,44,89,0,,4,134,138,20,0,,277,277,227
E07000175,,,Newark and Sherwood,,6,83,89,0,,1,31,32,30,0,,188,188,121
E07000176,,,Rushcliffe,,72,0,72,0,,43,253,296,32,0,,390,390,368
E10000019,,Lincolnshire,,,143,694,837,327,,116,841,957,206,561,,"1,203","2,091","1,794"
E07000136,,,Boston,,24,144,168,0,,37,33,70,16,79,,182,261,238
E07000137,,,East Lindsey,,38,91,129,0,,1,148,149,61,1,,340,341,278
E07000138,,,Lincoln,,30,1,31,42,,7,343,350,16,454,,0,496,381
E07000139,,,North Kesteven,,4,58,62,0,,45,121,166,40,0,,248,248,228
E07000140,,,South Holland,,44,0,44,0,,23,121,144,28,0,,208,208,188
E07000141,,,South Kesteven,,1,337,338,285,,2,36,38,22,27,,97,409,376
E07000142,,,West Lindsey,,2,63,65,0,,1,39,40,23,0,,128,128,105
E06000016,,Leicester,,,329,0,329,0,,12,"1,386","1,398",90,0,,"2,107","2,107","1,727"
E06000017,,Rutland,,,0,39,39,0,,1,44,45,10,47,,58,105,84
E10000018,,Leicestershire,,,21,758,779,304,,25,577,602,130,559,,704,"1,567","1,381"
E07000129,,,Blaby,,2,39,41,48,,5,80,85,25,100,,0,148,126
E07000130,,,Charnwood,,4,143,147,110,,16,198,214,40,271,,49,430,361
E07000131,,,Harborough,,0,150,150,130,,0,29,29,15,29,,0,159,179
E07000132,,,Hinckley and Bosworth,,7,107,114,0,,1,53,54,10,38,,152,190,168
E07000133,,,Melton,,3,51,54,0,,0,12,12,6,0,,80,80,66
E07000134,,,North West Leicestershire,,5,144,149,16,,1,134,135,20,121,,132,269,284
E07000135,,,Oadby and Wigston,,0,124,124,0,,2,71,73,14,0,,291,291,197
E10000021,,Northamptonshire,,,347,157,504,537,,20,"1,711","1,731",186,"1,433",,921,"2,891","2,235"
E07000150,,,Corby,,114,0,114,267,,5,90,95,14,134,,0,401,209
E07000151,,,Daventry,,3,91,94,139,,0,10,10,8,13,,0,152,104
E07000152,,,East Northamptonshire,,4,36,40,0,,0,71,71,22,0,,131,131,111
E07000153,,,Kettering,,57,0,57,38,,0,70,70,26,118,,57,213,127
E07000154,,,Northampton,,148,0,148,35,,14,756,770,60,947,,133,"1,115",918
E07000155,,,South Northamptonshire,,4,0,4,0,,1,493,494,37,0,,600,600,498
E07000156,,,Wellingborough,,17,30,47,58,,0,221,221,19,221,,0,279,268
